"Table 11: Drug-related deaths by Scottish Index of Multiple Deprivation (SIMD) quintile1: numbers and age-standardised death rates2, Scotland, 2001 to 2020",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,,,,
,Scotland,,,,SIMD Quintile 1 (most deprived),,,,SIMD Quintile 2,,,,SIMD Quintile 3,,,,SIMD Quintile 4,,,,SIMD Quintile 5 (least deprived),,,,
,rate,lower 95% CI,upper 95% CI,deaths,rate,lower 95% CI,upper 95% CI,deaths,rate,lower 95% CI,upper 95% CI,deaths,rate,lower 95% CI,upper 95% CI,deaths,rate,lower 95% CI,upper 95% CI,deaths,rate,lower 95% CI,upper 95% CI,deaths,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6.2,5.5,6.8,333,16.6,14.2,19.0,185,7.1,5.5,8.7,78,3.1,2.0,4.2,32,2.1,1.2,3.0,22,1.6,0.8,2.3,16,
2002,7.1,6.4,7.8,382,18.3,15.8,20.9,203,8.0,6.4,9.7,88,4.6,3.3,5.9,48,2.7,1.7,3.7,28,1.5,0.7,2.3,15,
2003,5.9,5.3,6.6,319,15.1,12.8,17.4,166,6.2,4.7,7.7,68,4.3,3.0,5.5,45,2.2,1.3,3.1,24,1.7,0.8,2.5,16,
2004,6.7,6.0,7.4,356,17.3,14.8,19.7,187,7.7,6.1,9.4,83,4.3,3.1,5.6,44,2.8,1.8,3.9,29,1.2,0.5,1.9,13,
2005,6.3,5.6,7.0,336,15.3,13.0,17.7,164,6.3,4.8,7.8,68,5.3,3.9,6.7,55,3.0,1.9,4.0,31,1.8,0.9,2.6,18,
2006,7.9,7.1,8.6,420,19.9,17.2,22.6,213,9.3,7.5,11.1,100,5.6,4.1,7.0,59,2.7,1.7,3.7,28,2.0,1.1,2.8,20,
2007,8.5,7.7,9.2,455,20.3,17.6,23.0,218,11.8,9.7,13.8,126,5.6,4.2,7.0,60,3.1,2.1,4.2,34,1.6,0.8,2.3,17,
2008,10.7,9.8,11.6,574,26.4,23.3,29.5,282,14.6,12.3,16.9,159,5.2,3.8,6.5,56,4.5,3.3,5.8,50,2.6,1.6,3.6,27,
2009,10.1,9.3,11.0,545,25.1,22.1,28.2,267,11.0,9.0,12.9,118,7.8,6.1,9.5,85,4.8,3.5,6.1,52,2.2,1.3,3.1,23,
2010,9.0,8.2,9.8,485,22.7,19.8,25.6,243,9.6,7.7,11.4,103,7.3,5.7,8.9,81,3.7,2.5,4.8,39,1.9,1.0,2.8,19,
2011,10.9,10.0,11.8,584,25.3,22.2,28.3,265,13.5,11.3,15.7,144,9.4,7.6,11.2,103,3.9,2.7,5.1,42,3.0,1.9,4.1,30,
2012,10.9,10.0,11.8,581,27.6,24.4,30.8,288,13.4,11.2,15.6,144,7.7,6.1,9.4,85,3.9,2.7,5.1,42,2.2,1.3,3.2,22,
2013,9.9,9.1,10.8,527,23.3,20.3,26.2,242,13.3,11.1,15.6,139,7.4,5.8,9.0,81,4.3,3.0,5.5,44,1.9,1.1,2.7,21,
2014,11.5,10.6,12.5,614,32.1,28.7,35.6,338,11.7,9.6,13.8,121,6.8,5.2,8.4,72,5.2,3.8,6.6,54,2.6,1.7,3.6,29,
2015,13.3,12.4,14.3,706,34.0,30.4,37.6,351,16.1,13.7,18.6,169,9.5,7.6,11.4,100,4.8,3.5,6.1,52,3.1,2.1,4.2,34,
2016,16.4,15.3,17.5,868,41.6,37.6,45.5,433,21.2,18.3,24.0,217,11.5,9.4,13.6,120,6.6,5.0,8.1,70,2.5,1.6,3.5,28,
2017,17.7,16.6,18.9,934,46.4,42.2,50.6,479,22.1,19.2,25.0,227,13.0,10.7,15.2,132,5.7,4.3,7.2,62,3.2,2.1,4.2,34,
2018,22.5,21.2,23.8,1187,62.1,57.2,67.0,632,26.8,23.6,30.0,274,16.1,13.6,18.5,166,6.9,5.3,8.5,75,3.6,2.5,4.8,40,
2019,24.4,23.0,25.7,1280,68.5,63.4,73.6,695,30.6,27.1,34.0,312,14.2,11.8,16.5,144,8.2,6.5,9.9,90,3.5,2.4,4.5,39,
2020 3,25.1,23.8,26.5,1339,68.2,63.2,73.3,707,30.6,27.2,33.9,316,16.7,14.2,19.2,172,9.4,7.6,11.2,103,3.7,2.6,4.8,41,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,
