"Table 4: Drug-related deaths by sex and age, Scotland, 1996 to 2020",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year,Drug-related deaths,,Sex,,,Age-group 1,,,,,,,,Age,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,Male,Female,,14 and under,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 and over,,Average,Lower quartile,Median,Upper quartile,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
annual averages:,,,,,,,,,,,,,,,,,,,,,,,,
1996-2000,260,,207,53,,83,,108,46,12,10,,,..,..,..,..,,,,,,,
2006-2010,496,,393,103,,0,78,171,159,65,17,6,,..,..,..,..,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1996,244,,185,59,,86,,103,32,13,10,,,..,22,28,34,,,,,,,
1997,224,,179,45,,76,,89,31,14,14,,,..,23,29,35,,,,,,,
1998,249,,194,55,,88,,103,37,9,12,,,..,23,27,34,,,,,,,
1999,291,,237,54,,94,,118,62,10,7,,,..,23,28,35,,,,,,,
2000,292,,239,53,,0,73,126,69,16,3,5,,32.2,25,30,36,,,,,,,
2001,332,,267,65,,1,79,140,70,31,8,4,,32.8,25,31,38,,,,,,,
2002,382,,321,61,,0,100,153,92,27,7,3,,32.0,24,30,37,,,,,,,
2003,317,,256,61,,0,78,123,81,20,11,6,,33.3,25,31,37,,,,,,,
2004,356,,289,67,,0,81,138,92,35,2,8,,33.4,25,31,38,,,,,,,
2005,336,,259,77,,1,47,104,126,37,11,10,,36.6,28,36,41,,,,,,,
2006,421,,334,87,,0,69,154,127,54,15,1,,35.0,27,34,40,,,,,,,
2007,455,,393,62,,0,94,149,149,45,11,7,,34.8,26,34,41,,,,,,,
2008,574,,461,113,,0,92,211,174,71,17,9,,35.5,27,34,41,,,,,,,
2009,545,,413,132,,2,69,178,189,78,20,9,,36.6,28,35,43,,,,,,,
2010,485,,363,122,,0,65,161,158,76,20,5,,36.7,28,35,43,,,,,,,
2011,584,,429,155,,0,58,184,212,94,26,10,,37.9,30,37,43,,,,,,,
2012,581,,416,165,,0,46,171,199,115,34,16,,39.7,31,38,46,,,,,,,
2013,527,,393,134,,0,32,138,184,125,39,9,,40.6,32,40,47,,,,,,,
2014,614,,453,161,,1,46,157,213,148,37,12,,40.2,32,40,47,,,,,,,
2015,706,,484,222,,0,30,163,249,183,61,20,,42.1,34,41,49,,,,,,,
2016,868,,593,275,,0,42,199,327,214,66,20,,41.5,34,41,47,,,,,,,
2017,934,,652,282,,3,36,185,360,268,64,18,,41.9,35,41,48,,,,,,,
2018,"1,187",,860,327,,1,64,217,442,345,90,28,,42.3,35,42,49,,,,,,,
2019,"1,280",,887,393,,0,76,220,469,397,98,20,,42.2,35,42,48,,,,,,,
2020,"1,339",,973,366,,2,78,260,418,419,139,23,,42.6,34,43,49,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2016-2020 average,"1,122",,793,329,,1,59,216,403,329,91,22,,..,..,..,..,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
