"Table 7: Drug-related deaths involving only one drug by sex, age and selected drugs implicated1, Scotland, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any drug: all such deaths,Opiates and opioids,,,,,,Benzodiazepines,,,,,Gabapentin and/or Pregabalin,Cocaine,Ecstasy-type,Amphet-amines,Any other drug 3,,Alcohol (with only one drug - see the examples given in footnote 1),,,,,,,,,,,,
,,Heroin / morphine 2,Methadone,"Heroin / morphine, Methadone or Bupren-orphine",Codeine or a codeine-containing compound,Dihydro-codeine or a d.h.c-containing compound,Any opiate or opioid,Any benzo-diazepine,of which:,,of which:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"any ""Prescrib-able"" benzo-diazepine",of which: ,"any ""Street"" benzo-diazepine",of which: ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Diazepam,,Etizolam,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(i) only one drug (and, perhaps, alcohol) was found to be present in the body ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All such deaths,88,17,7,26,1,4,46,13,4,2,9,8,1,16,2,6,4,,33,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,71,13,6,21,1,2,34,11,4,2,7,6,1,15,1,5,4,,29,,,,,,,,,,,,
Females,17,4,1,5,0,2,12,2,0,0,2,2,0,1,1,1,0,,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 25,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,2,,,,,,,,,,,,
