Numbers  of drug-related deaths - from SAS output ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Age at Death,,,,,,,,,,,,,,,,,,,,,
,0-14,15-24,25-34,35-44,45-54,55-64,65+,All,,age 15-64 only,,check,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Registration Year,,,,,,,,,,,,,,,,,,,,,,
2000,0,73,126,69,16,3,5,292,,287,,0,,,,,,,,,,
2001,1,79,140,70,31,8,4,333,,328,,0,,,,,,,,,,
2002,0,100,153,92,27,7,3,382,,379,,0,,,the totals in red are from the new database,,,,,,,
2003,0,78,123,81,20,11,6,319,,313,,0,,,and so differ slightly from the published,,,,,,,
2004,0,81,138,92,35,2,8,356,,348,,0,,,total for the year - refer to the end of Annex A,,,,,,,
2005,1,47,104,126,37,11,10,336,,325,,0,,,,,,,,,,
2006,0,69,154,127,54,15,1,420,,419,,0,,,,,,,,,,
2007,0,94,149,149,45,11,7,455,,448,,0,,,,,,,,,,
2008,0,92,211,174,71,17,9,574,,565,,0,,,,,,,,,,
2009,2,69,178,189,78,20,9,545,,534,,0,,,,,,,,,,
2010,0,65,161,158,76,20,5,485,,480,,0,,,,,,,,,,
2011,0,58,184,212,94,26,10,584,,574,,0,,,,,,,,,,
2012,0,46,171,199,115,34,16,581,,565,,0,,,,,,,,,,
2013,0,32,138,184,125,39,9,527,,518,,0,,,,,,,,,,
2014,1,46,157,213,148,37,12,614,,601,,0,,,,,,,,,,
2015,0,30,163,249,183,61,20,706,,686,,0,,,,,,,,,,
2016,0,42,199,327,214,66,20,868,,848,,0,,,,,,,,,,
2017,3,36,185,360,268,64,18,934,,913,,0,,,,,,,,,,
2018,1,64,217,442,345,90,28,"1,187",,"1,158",,0,,,,,,,,,,
2019,0,76,220,469,397,98,20,"1,280",,"1,260",,0,,,,,,,,,,
2020,2,78,260,418,419,139,23,"1,339",,"1,314",,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Population of Scotland - from Time-Series Tables on Website ,,,,,,,,"NB: figures for 2000 to 2019 replaced on 23 September 2020, thus taking account of all revisions etc which had been made by then",,,,,,,,,,,,,,
,,,,,,,,"      (when previous years' workbooks produced, their figures were updated [when necessary] for any previous revisions etc)",,,,,,,,,,,,,,
,,,,,,,,figures for 2020 from pre-publication SAS dataset,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,85 & over,,,
PERSONS,All Ages,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,,,check,
2000,"5,062,940","283,213","313,342","322,884","317,896","309,605","329,972","386,733","403,058","371,304","333,356","345,863","282,993","263,236","238,638","206,574","166,177","100,435","87,661",,0,
2001,"5,064,200","276,261","305,813","322,923","317,605","315,395","314,885","381,237","403,232","378,888","338,208","350,883","290,138","261,551","239,464","207,178","165,616","106,129","88,794",,0,
2002,"5,066,000","269,784","300,341","322,994","318,594","323,176","301,388","370,635","402,702","386,186","346,196","337,014","311,948","262,178","239,601","209,211","164,386","111,946","87,720",,0,
2003,"5,068,500","265,124","295,752","320,033","320,922","328,490","293,178","358,583","400,342","392,871","353,632","331,546","323,990","265,506","242,219","210,215","164,579","116,211","85,307",,0,
2004,"5,084,300","263,725","292,012","318,895","322,550","330,116","295,046","344,896","396,818","399,112","362,082","330,384","332,800","270,604","244,668","210,492","165,495","120,416","84,189",,0,
2005,"5,110,200","265,494","288,076","315,456","322,788","335,667","302,798","334,064","390,035","406,046","370,864","331,859","341,282","273,453","245,840","211,563","167,298","118,256","89,361",,0,
2006,"5,133,000","267,887","283,176","310,396","325,046","338,427","312,153","321,753","386,490","407,675","378,713","336,583","346,378","280,548","244,329","212,774","168,617","118,180","93,875",,0,
2007,"5,170,000","274,307","277,032","306,907","329,271","341,579","326,534","311,583","379,780","409,130","387,047","345,038","333,022","302,741","245,594","213,870","171,605","118,251","96,709",,0,
2008,"5,202,900","282,076","272,218","303,788","329,127","346,685","336,480","306,527","369,874","407,778","395,209","352,726","327,680","314,971","249,403","216,897","173,548","119,216","98,697",,0,
2009,"5,231,900","287,506","269,584","300,139","332,321","348,701","339,974","309,453","357,521","404,027","401,606","361,126","326,055","323,312","254,007","219,659","174,779","120,838","101,292",,0,
