"Drug-deaths by age-groups used for ISD estimates of problem drug user numbers table gives figures for each year, from which calculate annual averages for use in calculation of death rates per 1,000 problem drug users in each of the categories shown in the table.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"(Note: youngest and oldest age-groups are included in the 'all ages' figures, but do not appear in the table)",,,,,,,,,,,,,,,,,,,,
"use '2013-2017' average, to give 'deaths circa 2015' relative to 'problem drug users circa 15/16'",,,,,,,,,,,,,,,,,,,,
***** Cases satisfying National Records of Scotland (NRS) implementation of UK Drug Strategy standard definition only *****,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UK Drug Strategy definition (as applied by General Register Office for Scotland (GROS)) in UK-wide defn used by GROS/NRS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,All,,Averages for 'cells' that are used,,,,,,,,,,,
,,2013,2014,2015,2016,2017,,,,,,,,,,,,,,
All,,527,614,706,868,934,3649,,729.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sex,,,,,,,,,,,,,,,,,,,,
Female,,134,161,222,275,282,1074,,214.8,,,,,,,,,,,
Male,,393,453,484,593,652,2575,,515.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Age at Death,,,,,,,,,,,,,,,,,,,,
0-14,,0,1,0,0,3,4,,,,,,,,,,,,,
15-24,,32,46,30,42,36,186,,37.2,,,,,,,,,,,
25-34,,138,157,163,199,185,842,,168.4,,,,,,,,,,,
35-64,,348,398,493,607,692,2538,,507.6,,,,,,,,,,,
65+,,9,12,20,20,18,79,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sex,Age at Death,,,,,,,,,,,,,,,,,,,
Female,0-14,0,1,0,0,1,2,,,,,,,,,,,,,
,15-24,4,9,6,17,7,43,,8.6,,,,,,,,,,,
,25-34,31,40,45,48,37,201,,40.2,,,,,,,,,,,
,35-64,96,106,166,202,229,799,,159.8,,,,,,,,,,,
,65+,3,5,5,8,8,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Male,0-14,0,0,0,0,2,2,,,,,,,,,,,,,
,15-24,28,37,24,25,29,143,,28.6,,,,,,,,,,,
,25-34,107,117,118,151,148,641,,128.2,,,,,,,,,,,
,35-64,252,292,327,405,463,1739,,347.8,,,,,,,,,,,
,65+,6,7,15,12,10,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,
