"Table C1: Drug-related deaths by Council area, 2010 to 2020 (with averages for 2006-2010 and 2016-2020)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Annual averages,,,,2016-2020,,Males,,,Females,,,
Council area1,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,2006 to 2010,2016 to 2020,,Population in 2018,"average deaths per 100,000 pop'n",,2010,2020,,2010,2020,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,485,584,581,527,614,706,868,934,"1,187 ","1,280 ","1,339 ",,496,"1,122 ",,"5,438,100",20.6,,363,973,,122,366,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,31,29,16,24,26,45,46,54,52 ,44 ,56 ,,27,50,,"227,560",22.1,,23,43,,8,13,,
Aberdeenshire,10,19,9,21,8,14,12,24,23 ,26 ,33 ,,14,24,,"261,470",9.0,,7,21,,3,12,,
Angus,9,8,8,10,8,17,13,18,13 ,21 ,14 ,,8,16,,"116,040",13.6,,5,13,,4,1,,
Argyll & Bute,4,12,7,5,8,11,10,8,9 ,13 ,16 ,,5,11,,"86,260",13.0,,4,11,,0,5,,
City of Edinburgh,47,48,57,64,71,69,90,84,95 ,96 ,92 ,,46,91,,"518,500",17.6,,35,71,,12,21,,
Clackmannanshire,1,6,11,7,6,7,12,5,10 ,15 ,9 ,,4,10,,"51,400",19.8,,1,7,,0,2,,
Dumfries & Galloway,6,12,6,9,14,11,17,22,20 ,35 ,22 ,,8,23,,"148,790",15.6,,5,16,,1,6,,
Dundee City,22,32,39,24,31,36,38,57,66 ,72 ,57 ,,24,58,,"148,750",39.0,,14,38,,8,19,,
East Ayrshire,11,17,15,12,17,14,29,24,29 ,41 ,36 ,,12,32,,"121,840",26.1,,7,25,,4,11,,
East Dunbartonshire,6,2,4,1,4,9,7,8,9 ,7 ,14 ,,5,9,,"108,330",8.3,,6,10,,0,4,,
East Lothian,7,8,6,8,11,10,11,12,18 ,18 ,14 ,,5,15,,"105,790",13.8,,6,11,,1,3,,
East Renfrewshire,4,3,4,3,5,8,5,4,11 ,8 ,10 ,,5,8,,"95,170",8.0,,3,6,,1,4,,
Falkirk,10,11,14,11,9,14,30,16,43 ,41 ,37 ,,10,33,,"160,340",20.8,,8,31,,2,6,,
Fife,35,34,38,39,46,44,45,66,64 ,81 ,65 ,,30,64,,"371,910",17.3,,25,53,,10,12,,
Glasgow City,94,117,121,103,114,157,170,192,280 ,279 ,291 ,,111,242,,"626,410",38.7,,71,211,,23,80,,
Highland,6,21,15,13,17,24,19,24,36 ,26 ,33 ,,12,28,,"235,540",11.7,,6,22,,0,11,,
Inverclyde,17,20,13,10,17,16,20,23,24 ,33 ,33 ,,10,27,,"78,150",34.0,,13,28,,4,5,,
Midlothian,7,4,8,8,7,6,8,19,14 ,18 ,21 ,,6,16,,"91,340",17.5,,3,18,,4,3,,
Moray,3,10,6,5,2,10,10,7,17 ,12 ,10 ,,5,11,,"95,520",11.7,,3,8,,0,2,,
Na h-Eileanan Siar,1,1,1,2,1,1,1,3,2 ,0 ,3 ,,1,2,,"26,830",6.7,,0,2,,1,1,,
North Ayrshire,12,16,19,11,15,15,32,25,38 ,41 ,39 ,,15,35,,"135,280",25.9,,9,33,,3,6,,
North Lanarkshire,36,27,38,38,33,42,49,53,72 ,95 ,94 ,,30,73,,"340,180",21.3,,25,64,,11,30,,
Orkney Islands,2,0,1,1,0,1,1,1,3 ,1 ,3 ,,1,2,,"22,190",8.1,,2,3,,0,0,,
Perth & Kinross,3,5,8,3,9,10,11,19,30 ,25 ,34 ,,7,24,,"151,290",15.7,,2,23,,1,11,,
Renfrewshire,19,24,26,13,30,19,42,38,50 ,45 ,67 ,,22,48,,"177,790",27.2,,15,47,,4,20,,
Scottish Borders,9,8,7,8,11,13,10,13,22 ,17 ,18 ,,5,16,,"115,270",13.9,,8,15,,1,3,,
Shetland Islands,2,3,2,0,4,1,1,2,0 ,2 ,4 ,,1,2,,"22,990",7.8,,2,3,,0,1,,
South Ayrshire,8,14,9,13,11,14,24,12,15 ,26 ,31 ,,8,22,,"112,550",19.2,,5,19,,3,12,,
South Lanarkshire,26,34,29,37,34,31,64,49,58 ,68 ,91 ,,24,66,,"319,020",20.7,,22,58,,4,33,,
Stirling,7,9,6,6,10,10,9,15,19 ,19 ,31 ,,7,19,,"94,330",19.7,,5,21,,2,10,,
West Dunbartonshire,18,17,19,8,19,12,13,15,20 ,32 ,29 ,,16,22,,"89,130",24.5,,14,19,,4,10,,
West Lothian,12,13,19,10,16,15,19,22,25 ,23 ,32 ,,12,24,,"182,140",13.3,,9,23,,3,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,,,,,,,,,,,
"1) With effect from the ""... in 2016"" edition of this publication, the alphabetical order of the councils changed due to the adoption of the preferred forms of reference for the Edinburgh and Western Isles areas. Previous versions of this table used the forms 'Edinburgh, City of' and 'Eilean Siar'.       
       
       
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,,,,,,
