Total number of drug-related deaths in latest FIVE years - from SAS output 2016-2020,,,,,,,,,,,,,,,,,,,,,
(''City of Edinburgh' and 'Na h-Eileanan Siar' are in their new alphabetical order),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Age at Death,,,,,,,All,,,,,,,,,,,,,
,0-14,15-24,25-34,35-44,45-54,55-64,65+,,,age 15-64 only,,,,,,,,,,,
All,6,296,1081,2016,1643,457,109,5608,,5493,,,,,,,,,,,
Local Authority area,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,0,6,34,100,86,18,8,252,,244,,,,,,,,,,,
Aberdeenshire,0,6,28,41,33,10,0,118,,118,,,,,,,,,,,
Angus,0,5,15,31,22,6,0,79,,79,,,,,,,,,,,
Argyll + Bute,0,3,15,15,17,5,1,56,,55,,,,,,,,,,,
City of Edinburgh,1,24,72,155,149,37,19,457,,437,,,,,,,,,,,
Clackmannanshire,0,1,12,26,10,1,1,51,,50,,,,,,,,,,,
Dumfries + Galloway,0,4,32,49,22,8,1,116,,115,,,,,,,,,,,
Dundee City,0,9,61,120,77,21,2,290,,288,,,,,,,,,,,
East Ayrshire,0,6,36,69,39,9,0,159,,159,,,,,,,,,,,
East Dunbartonshire,0,3,10,18,6,7,1,45,,44,,,,,,,,,,,
East Lothian,0,4,12,29,20,6,2,73,,71,,,,,,,,,,,
East Renfrewshire,0,2,9,12,11,3,1,38,,37,,,,,,,,,,,
Falkirk,0,8,45,51,50,11,2,167,,165,,,,,,,,,,,
Fife,1,25,61,129,79,23,3,321,,317,,,,,,,,,,,
Glasgow City,1,41,159,403,458,126,24,1212,,1187,,,,,,,,,,,
Highland,0,11,39,40,30,17,1,138,,137,,,,,,,,,,,
Inverclyde,1,7,19,49,42,13,2,133,,130,,,,,,,,,,,
Midlothian,0,9,9,43,10,7,2,80,,78,,,,,,,,,,,
Moray,0,3,17,16,11,7,2,56,,54,,,,,,,,,,,
Na h-Eileanan Siar,0,1,2,4,2,0,0,9,,9,,,,,,,,,,,
North Ayrshire,1,4,29,74,54,10,3,175,,171,,,,,,,,,,,
North Lanarkshire,0,26,87,127,92,23,8,363,,355,,,,,,,,,,,
Orkney Islands,0,1,3,0,2,2,1,9,,8,,,,,,,,,,,
Perth + Kinross,0,6,24,42,29,15,3,119,,116,,,,,,,,,,,
Renfrewshire,0,17,51,82,69,20,3,242,,239,,,,,,,,,,,
Scottish Borders,0,8,22,19,24,5,2,80,,78,,,,,,,,,,,
Shetland Islands,0,0,3,1,0,4,1,9,,8,,,,,,,,,,,
South Ayrshire,0,6,29,42,22,7,2,108,,106,,,,,,,,,,,
South Lanarkshire,0,20,70,122,91,21,6,330,,324,,,,,,,,,,,
Stirling,0,11,21,35,23,3,0,93,,93,,,,,,,,,,,
West Dunbartonshire,0,9,18,40,35,5,2,109,,107,,,,,,,,,,,
West Lothian,1,10,37,32,28,7,6,121,,114,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Population in middle year of latest five-year period - from mid-year estimates on Website,,,,,,,,,,,,,,,,,,,,,
"Table 3: Estimated population by sex, five year age group and administrative area, mid-2018",,,,,,,,,,copied from Website  25 May 2021,,,,,,,,,,,
"(""City of Edinburgh"" and ""Na h-Eileanan Siar"" are in their new alphabetical order)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,All Ages,check,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+
SCOTLAND,"5,438,100",0,"276,862","301,089","287,790","284,564","350,624","382,340","361,258","347,997","317,522","374,287","404,687","386,660","336,306","300,413","270,965","191,102","140,258","81,449","41,927"
,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,"227,560",0,"11,751","11,517","9,824","10,473","18,625","23,442","20,494","17,386","13,779","14,090","14,314","13,989","12,344","10,483","8,814","6,468","5,088","3,122","1,557"
Aberdeenshire,"261,470",0,"14,564","16,216","15,372","13,752","12,689","13,249","15,249","17,134","17,051","19,913","20,421","18,943","17,118","15,313","13,493","9,098","6,329","3,611","1,955"
Angus,"116,040",0,"5,552","6,198","6,257","6,135","6,091","5,876","6,190","6,635","6,354","8,057","8,787","8,881","7,739","7,748","7,367","5,020","3,692","2,210","1,251"
Argyll & Bute,"86,260",0,"3,610","4,256","4,337","4,365","4,832","4,173","3,824","4,251","4,560","5,744","6,895","7,001","6,452","6,351","5,973","4,180","2,962","1,686",808
City of Edinburgh,"518,500",0,"25,309","26,334","22,777","24,496","44,660","55,449","47,941","40,325","32,879","32,231","32,249","30,171","25,619","22,498","19,571","13,692","11,108","7,138","4,053"
Clackmannanshire,"51,400",0,"2,686","2,900","2,875","2,808","2,900","2,815","2,905","2,961","3,039","3,902","4,167","3,916","3,299","3,183","2,882","1,888","1,273",668,333
Dumfries & Galloway,"148,790",0,"6,488","7,566","7,859","7,245","7,610","7,370","7,506","7,267","7,240","9,898","11,875","11,953","11,034","10,830","10,011","7,334","5,226","3,021","1,457"
Dundee City,"148,750",0,"7,510","8,005","7,157","8,401","13,578","14,335","11,419","9,096","7,386","8,500","9,434","9,713","8,229","7,101","6,658","4,759","3,912","2,369","1,188"
East Ayrshire,"121,840",0,"6,349","6,966","6,578","6,330","6,954","7,223","7,237","7,122","6,842","8,863","9,806","9,058","7,959","7,393","6,778","4,553","3,245","1,696",888
East Dunbartonshire,"108,330",0,"5,619","6,273","6,173","5,893","5,846","5,616","5,124","5,841","6,033","7,647","8,404","8,427","7,367","6,580","6,075","4,536","3,673","2,121","1,082"
East Lothian,"105,790",0,"5,651","6,408","6,273","5,418","5,692","5,815","5,638","6,236","6,414","7,780","8,359","8,064","6,872","5,969","5,764","3,960","2,938","1,709",830
East Renfrewshire,"95,170",0,"5,185","6,502","6,476","5,671","5,196","4,604","4,330","5,338","5,982","6,874","7,262","6,822","6,031","5,155","4,755","3,463","2,815","1,743",966
