Table CS1: Consistent series of drug-related deaths - 'extra' deaths and which of the drugs that were present for each of the 'extra' deaths meant that they were counted in the consistent series: 2000 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-related deaths: consistent series 1,,,293,339,388,330,365,346,430,474,591,570,512,609,606,559,624,710,873,937," 1,196 "," 1,282 "," 1,339 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug-related deaths: standard definition 2,,,292,332,382,317,356,336,421,455,574,545,485,584,581,527,614,706,868,934," 1,187 "," 1,280 "," 1,339 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Extra' deaths counted in the consistent series 3,,,1,7,6,13,9,10,9,19,17,25,27,25,25,32,10,4,5,3,9,2,0,,,,
,of which:,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mephedrone4 present,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,
,,Phenazepam5 present,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,
,,Tramadol6 present,0,5,2,12,8,9,9,16,14,19,17,12,17,27,3,0,0,0,0,0,0,,,,
,,Zopiclone6 present,1,2,4,1,1,1,0,4,2,6,7,9,7,1,0,0,0,0,0,0,0,,,,
,,Etizolam7 present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,,,,
,,Gabapentin present 8,0,0,0,0,0,0,0,0,1,0,2,3,5,4,2,2,1,2,5,0,0,,,,
,,Pregabalin present 8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,5,2,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"None of the above, but one or more other substances which are now controlled were present 9",0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Broadly speaking, counting deaths on the basis of the classification of the drugs at the end of the latest year which is covered by the publication.  Refer to Annex F for the full definition.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Broadly speaking, counting deaths on the basis of the classification of the drugs at the time of death.  Refer to Annex A for the full definition.",,,,,,,,,,,,,,,,,,,,,,,,,,,
3) These are deaths which are counted in the consistent series but are not counted in the standard definition.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) Mephedrone has been a controlled substance with effect from 16 April 2010, so subsequent deaths involving it are counted in the 'standard definition' figures (and not 'extra' deaths).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Phenazepam has been a controlled substance with effect from 13 June 2012, so subsequent deaths involving it are counted in the 'standard definition' figures (and not 'extra' deaths).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) Tramadol and zopiclone have been controlled substances with effect from 10 June 2014, so subsequent deaths involving either (or both) of them are counted in the 'standard definition' figures (and not 'extra' deaths).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"7) Etizolam has been a controlled substances with effect from 31 May 2017, so subsequent deaths involving it are counted in the 'standard definition' figures (and not 'extra' deaths).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"8) Gabapentin and pregabalin have been controlled substances with effect from 1 April 2019, so subsequent deaths involving either (or both) of them are counted in the 'standard definition' figures (and not 'extra' deaths).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"9) For example one or more of APB, API and BZP were present.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
