Data for Figure 2 (linked to Table 4),,,,,,,,,,,
,,,,,,,,,,,
Drug-related deaths by sex,,,,,,,,,,,
,Males,Females,,,,,,,,,
1996,185,59,,,,,,,,,
1997,179,45,,,,,,,,,
1998,194,55,,,,,,,,,
1999,237,54,,,,,,,,,
2000,239,53,,,,,,,,,
2001,267,65,,,,,,,,,
2002,321,61,,,,,,,,,
2003,256,61,,,,,,,,,
2004,289,67,,,,,,,,,
2005,259,77,,,,,,,,,
2006,334,87,,,,,,,,,
2007,393,62,,,,,,,,,
2008,461,113,,,,,,,,,
2009,413,132,,,,,,,,,
2010,363,122,,,,,,,,,
2011,429,155,,,,,,,,,
2012,416,165,,,,,,,,,
2013,393,134,,,,,,,,,
2014,453,161,,,,,,,,,
2015,484,222,,,,,,,,,
2016,593,275,,,,,,,,,
2017,652,282,,,,,,,,,
2018,860,327,,,,,,,,,
2019,887,393,,,,,,,,,
2020,973,366,,,,,,,,,
,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,
