Data for Figure 3A (linked to Table 4),,,,,,,,,
,,,,,,,,,
Drug-related deaths: average age,,,,,,,,,
,Average age,,,,,,,,
2000,32.2,,,,,,,,
2001,32.8,,,,,,,,
2002,32.0,,,,,,,,
2003,33.3,,,,,,,,
2004,33.4,,,,,,,,
2005,36.6,,,,,,,,
2006,35.0,,,,,,,,
2007,34.8,,,,,,,,
2008,35.5,,,,,,,,
2009,36.6,,,,,,,,
2010,36.7,,,,,,,,
2011,37.9,,,,,,,,
2012,39.7,,,,,,,,
2013,40.6,,,,,,,,
2014,40.2,,,,,,,,
2015,42.1,,,,,,,,
2016,41.5,,,,,,,,
2017,41.9,,,,,,,,
2018,42.3,,,,,,,,
2019,42.2,,,,,,,,
2020,42.6,,,,,,,,
,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,
