Data for Figure 3B (linked to Table 4),,,,,,,,,,
,,,,,,,,,,
Drug-related deaths by age-group,,,,,,,,,,
,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,,,,,
2000,73,126,69,16,3,,,,,
2001,79,140,70,31,8,,,,,
2002,100,153,92,27,7,,,,,
2003,78,123,81,20,11,,,,,
2004,81,138,92,35,2,,,,,
2005,47,104,126,37,11,,,,,
2006,69,154,127,54,15,,,,,
2007,94,149,149,45,11,,,,,
2008,92,211,174,71,17,,,,,
2009,69,178,189,78,20,,,,,
2010,65,161,158,76,20,,,,,
2011,58,184,212,94,26,,,,,
2012,46,171,199,115,34,,,,,
2013,32,138,184,125,39,,,,,
2014,46,157,213,148,37,,,,,
2015,30,163,249,183,61,,,,,
2016,42,199,327,214,66,,,,,
2017,36,185,360,268,64,,,,,
2018,64,217,442,345,90,,,,,
2019,76,220,469,397,98,,,,,
2020,78,260,418,419,139,,,,,
,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,
