"Drug-related deaths for selected Council areas, age-standardised death rates, Scotland 2016-2020",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
selected council area,2016-2020 age-standard death rate,,,confidence intervals,,error bar length,,,,,,,,
,,,,,,,,,,,,,,
,,,,lower,upper,minus,plus,,,,,,,
,,,,,,,,,,,,,,
Dundee City,43.1,,,38.1,48.2,5.0,5.1,,,,,,,
Glasgow City,39.8,,,37.5,42.1,2.3,2.3,,,,,,,
Inverclyde,36.7,,,30.4,43.0,6.3,6.3,,,,,,,
North Ayrshire,29.6,,,25.2,34.1,4.4,4.5,,,,,,,
East Ayrshire,28.3,,,23.9,32.8,4.4,4.5,,,,,,,
Renfrewshire,28.0,,,24.5,31.6,3.5,3.6,,,,,,,
West Dunbartonshire,26.0,,,21.1,30.9,4.9,4.9,,,,,,,
South Ayrshire,22.9,,,18.6,27.3,4.3,4.4,,,,,,,
Aberdeen City,22.7,,,19.8,25.5,2.9,2.8,,,,,,,
Clackmannanshire,22.3,,,16.1,28.4,6.2,6.1,,,,,,,
North Lanarkshire,21.6,,,19.4,23.8,2.2,2.2,,,,,,,
South Lanarkshire,21.5,,,19.2,23.9,2.3,2.4,,,,,,,
Scotland,21.2,,,20.6,21.8,0.6,0.6,,,,,,,
Stirling,21.2,,,16.9,25.6,4.3,4.4,,,,,,,
Falkirk,20.9,,,17.7,24.1,3.2,3.2,,,,,,,
Dumfries & Galloway,19.3,,,15.8,22.9,3.5,3.6,,,,,,,
Midlothian,18.7,,,14.6,22.8,4.1,4.1,,,,,,,
Fife,18.6,,,16.6,20.7,2.0,2.1,,,,,,,
City of Edinburgh,17.6,,,16.0,19.3,1.6,1.7,,,,,,,
Perth & Kinross,17.1,,,14.0,20.2,3.1,3.1,,,,,,,
Scottish Borders,16.4,,,12.7,20.0,3.7,3.6,,,,,,,
Angus,15.3,,,11.9,18.7,3.4,3.4,,,,,,,
Argyll & Bute,15.1,,,11.1,19.1,4.0,4.0,,,,,,,
East Lothian,14.7,,,11.3,18.1,3.4,3.4,,,,,,,
West Lothian,13.3,,,10.9,15.6,2.4,2.3,,,,,,,
Highland,12.8,,,10.6,14.9,2.2,2.1,,,,,,,
Moray,12.4,,,9.2,15.7,3.2,3.3,,,,,,,
East Dunbartonshire,9.5,,,6.7,12.3,2.8,2.8,,,,,,,
Aberdeenshire,9.3,,,7.6,11.0,1.7,1.7,,,,,,,
East Renfrewshire,8.8,,,6.0,11.7,2.8,2.9,,,,,,,
,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,
