"Drug-related deaths for selected Council areas - age-standardised death rates, change between 2000-2004 and 2016-2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
mainland Council,ID,ID2,2000-2004,2016-2020,Change,,,,,,,,,,
East Renfrewshire,1,1,5.0,8.8,3.8,,,,,,,,,,
Aberdeenshire,2,2,4.6,9.3,4.7,,,,,,,,,,
East Dunbartonshire,3,3,3.8,9.5,5.7,,,,,,,,,,
West Lothian,4,4,4.3,13.3,9.0,,,,,,,,,,
Moray,5,5,3.0,12.4,9.4,,,,,,,,,,
Highland,6,6,2.9,12.8,9.9,,,,,,,,,,
East Lothian,7,7,3.7,14.7,11.0,,,,,,,,,,
Angus,8,8,4.0,15.3,11.3,,,,,,,,,,
Argyll & Bute,9,9,3.7,15.1,11.4,,,,,,,,,,
Aberdeen City,10,10,10.7,22.7,12.0,,,,,,,,,,
City of Edinburgh,11,11,5.1,17.6,12.5,,,,,,,,,,
Dumfries & Galloway,12,12,6.4,19.3,12.9,,,,,,,,,,
Perth & Kinross,13,13,3.6,17.1,13.5,,,,,,,,,,
Midlothian,14,14,4.6,18.7,14.1,,,,,,,,,,
Scotland,15,15,6.3,21.2,14.9,,,,,,,,,,
Fife,16,16,3.6,18.6,15.0,,,,,,,,,,
North Lanarkshire,17,17,5.6,21.6,16.0,,,,,,,,,,
Stirling,18,18,4.9,21.2,16.3,,,,,,,,,,
Clackmannanshire,19,19,5.9,22.3,16.4,,,,,,,,,,
South Ayrshire,20,20,6.1,22.9,16.8,,,,,,,,,,
Falkirk,21,21,3.8,20.9,17.1,,,,,,,,,,
South Lanarkshire,22,22,4.3,21.5,17.2,,,,,,,,,,
West Dunbartonshire,23,23,7.6,26.0,18.4,,,,,,,,,,
North Ayrshire,24,24,9.0,29.6,20.6,,,,,,,,,,
Renfrewshire,25,25,5.7,28.0,22.3,,,,,,,,,,
East Ayrshire,26,26,5.6,28.3,22.7,,,,,,,,,,
Glasgow City,27,27,14.5,39.8,25.3,,,,,,,,,,
Inverclyde,28,28,11.3,36.7,25.4,,,,,,,,,,
Dundee City,29,29,5.9,43.1,37.2,,,,,,,,,,
,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,
