Drug-related deaths in total and for which certain opiates or opioids were implicated in the cause of death,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,All drug-related deaths,Any opiate or opioid,Heroin / morphine,Methadone,Codeine or a compound,Dihydrocodeine or a compound,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2008,574,507,324,169,24,67,,,,,,,,,,,,,
2009,545,498,322,173,33,64,,,,,,,,,,,,,
2010,485,442,254,174,11,58,,,,,,,,,,,,,
2011,584,524,206,275,32,85,,,,,,,,,,,,,
2012,581,499,221,237,33,84,,,,,,,,,,,,,
2013,527,461,221,216,33,81,,,,,,,,,,,,,
2014,614,536,309,214,38,69,,,,,,,,,,,,,
2015,706,606,345,251,31,94,,,,,,,,,,,,,
2016,868,766,473,362,43,114,,,,,,,,,,,,,
2017,934,815,470,439,27,97,,,,,,,,,,,,,
2018,"1,187",1021,537,560,57,133,,,,,,,,,,,,,
2019,"1,280",1106,651,567,57,118,,,,,,,,,,,,,
2020,"1,339",1192,605,708,51,151,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
