Calculate 2006 to 2010 annual averages,,,,,,,,,,,,
,,,,,,,,,,,,
Drug-related death numbers for each Council areas - from Table C1 in the '2016' edition of the publication (which has 'City of Edinburgh' and 'Na h-Eileanan Siar' in their new alphabetical order).,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Council area,2006,2007,2008,2009,2010,,five-year,,,,,
,,,,,,,average,,,,,
,,,,,,,,,,,,
Scotland,421,455,574,545,485,,496,,,,,
,,,,,,,,,,,,
Aberdeen City,26,23,27,27,31,,26.8,,,,,
Aberdeenshire,16,17,11,18,10,,14.4,,,,,
Angus,11,3,8,9,9,,8.0,,,,,
Argyll & Bute,1,9,4,7,4,,5.0,,,,,
City of Edinburgh,30,43,66,45,47,,46.2,,,,,
Clackmannanshire,7,5,4,3,1,,4.0,,,,,
Dumfries & Galloway,5,10,9,8,6,,7.6,,,,,
Dundee City,16,23,29,30,22,,24.0,,,,,
East Ayrshire,9,13,13,12,11,,11.6,,,,,
East Dunbartonshire,2,7,6,5,6,,5.2,,,,,
East Lothian,3,4,7,6,7,,5.4,,,,,
East Renfrewshire,3,3,6,7,4,,4.6,,,,,
Falkirk,10,15,10,5,10,,10.0,,,,,
Fife,19,28,37,32,35,,30.2,,,,,
Glasgow City,113,90,121,135,94,,110.6,,,,,
Highland,11,7,20,14,6,,11.6,,,,,
Inverclyde,9,10,5,7,17,,9.6,,,,,
Midlothian,6,1,6,9,7,,5.8,,,,,
Moray,5,5,3,7,3,,4.6,,,,,
Na h-Eileanan Siar,1,0,3,2,1,,1.4,,,,,
North Ayrshire,11,18,15,19,12,,15.0,,,,,
North Lanarkshire,24,27,30,35,36,,30.4,,,,,
Orkney Islands,1,0,1,0,2,,0.8,,,,,
Perth & Kinross,8,3,16,5,3,,7.0,,,,,
Renfrewshire,17,21,27,26,19,,22.0,,,,,
Scottish Borders,2,4,7,5,9,,5.4,,,,,
Shetland Islands,2,2,1,0,2,,1.4,,,,,
South Ayrshire,5,5,12,8,8,,7.6,,,,,
South Lanarkshire,22,31,23,19,26,,24.2,,,,,
Stirling,7,6,9,6,7,,7.0,,,,,
West Dunbartonshire,12,16,23,13,18,,16.4,,,,,
West Lothian,7,6,15,21,12,,12.2,,,,,
,,,,,,,,,,,,
NHS Board areas - boundaries with effect from 1 April 2014 - totals of relevant local authority areas,,,,,,,,,,,,
,,,,,,,,,,,,
Ayrshire & Arran,,,,,,,34.2,,,,,
Borders,,,,,,,5.4,,,,,
Dumfries & Galloway,,,,,,,7.6,,,,,
Fife,,,,,,,30.2,,,,,
Forth Valley,,,,,,,21.0,,,,,
Grampian,,,,,,,45.8,,,,,
Greater Glasgow & Clyde,,,,,,,168.4,,,,,
Highland 2,,,,,,,16.6,,,,,
Lanarkshire,,,,,,,54.6,,,,,
Lothian,,,,,,,69.6,,,,,
Orkney,,,,,,,0.8,,,,,
Shetland,,,,,,,1.4,,,,,
Tayside,,,,,,,39.0,,,,,
Western Isles,,,,,,,1.4,,,,,
Total,,,,,,,496.0,,,,,
,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,
