"Table HB2: Drug-related deaths by underlying cause of death1 and NHS Board area, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NHS Board area,All causes of death,Underlying cause of death (ICD10 codes),,,,,,,,,,,,,
,,Drug abuse,Accidental poisoning,Intentional self-poisoning,"Assault by drugs, etc.",Undetermined intent,,,,,,,,,
,,,,,,,,,,,,,,,
,,"(F11-F16, F19)",(X40-X44),(X60-X64),(X85),(Y10-Y14),,,,,,,,,
,,,,,,,,,,,,,,,
(i) New coding rules,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Scotland,"1,339         ",14         ,"1,242         ",57         ,1         ,25         ,,,,,,,,,
,,,,,,,,,,,,,,,
Ayrshire & Arran,106         ,0         ,102         ,3         ,0         ,1         ,,,,,,,,,
Borders,18         ,0         ,15         ,1         ,0         ,2         ,,,,,,,,,
Dumfries & Galloway,22         ,0         ,22         ,0         ,0         ,0         ,,,,,,,,,
Fife,65         ,0         ,60         ,5         ,0         ,0         ,,,,,,,,,
Forth Valley,77         ,1         ,73         ,3         ,0         ,0         ,,,,,,,,,
Grampian,99         ,0         ,95         ,4         ,0         ,0         ,,,,,,,,,
Greater Glasgow & Clyde,444         ,7         ,422         ,12         ,1         ,2         ,,,,,,,,,
Highland,49         ,3         ,39         ,3         ,0         ,4         ,,,,,,,,,
Lanarkshire,185         ,1         ,171         ,11         ,0         ,2         ,,,,,,,,,
Lothian,159         ,2         ,144         ,10         ,0         ,3         ,,,,,,,,,
Orkney,3         ,0         ,2         ,0         ,0         ,1         ,,,,,,,,,
Shetland,4         ,0         ,2         ,0         ,0         ,2         ,,,,,,,,,
Tayside,105         ,0         ,93         ,4         ,0         ,8         ,,,,,,,,,
Western Isles,3         ,0         ,2         ,1         ,0         ,0         ,,,,,,,,,
,,,,,,,,,,,,,,,
(ii) Old coding rules,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Scotland,"1,339         ","1,027         ",232         ,57         ,1         ,22         ,,,,,,,,,
,,,,,,,,,,,,,,,
Ayrshire & Arran,106         ,92         ,10         ,3         ,0         ,1         ,,,,,,,,,
Borders,18         ,11         ,4         ,1         ,0         ,2         ,,,,,,,,,
Dumfries & Galloway,22         ,21         ,1         ,0         ,0         ,0         ,,,,,,,,,
Fife,65         ,52         ,8         ,5         ,0         ,0         ,,,,,,,,,
Forth Valley,77         ,71         ,3         ,3         ,0         ,0         ,,,,,,,,,
Grampian,99         ,74         ,21         ,4         ,0         ,0         ,,,,,,,,,
Greater Glasgow & Clyde,444         ,365         ,64         ,12         ,1         ,2         ,,,,,,,,,
Highland,49         ,35         ,8         ,3         ,0         ,3         ,,,,,,,,,
Lanarkshire,185         ,142         ,30         ,11         ,0         ,2         ,,,,,,,,,
Lothian,159         ,126         ,21         ,10         ,0         ,2         ,,,,,,,,,
Orkney,3         ,0         ,2         ,0         ,0         ,1         ,,,,,,,,,
Shetland,4         ,2         ,0         ,0         ,0         ,2         ,,,,,,,,,
Tayside,105         ,36         ,58         ,4         ,0         ,7         ,,,,,,,,,
Western Isles,3         ,0         ,2         ,1         ,0         ,0         ,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,
"1) The coding rules were changed with effect from the start of 2011, as explained in Annex C (paragraphs C7 to C9).",,,,,,,,,,,,,,,
"Briefly, 'drug abuse' deaths from 'acute intoxication' were previously counted under 'mental and behavioural disorders due to psychoactive substance use' (unless they were known to be due to intentional self-harm or assault). They are now counted under the appropriate 'poisoning' category.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"For example, if the cause of death of a known drug abuser was given as 'adverse effects of heroin' (and it was not intentional self-harm or assault), the underlying cause of death would be coded as follows:",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
(a) up to 2010 - as 'F11 - mental and behavioural disorders due to use of opioids'.,,,,,,,,,,,,,,,
"(b) from 2011 - the appropriate 'poisoning' category, such as 'X42 - accidental poisoning by and exposure to narcotics and psychodysleptics (hallucinogens) not elsewhere classified'.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"National Records of Scotland has estimated what the figures for the year would have been, had the data been coded using the old rules.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
