"Table HB3: Drug-related deaths by selected drugs implicated1 and NHS Board area, 2020",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NHS Board area,,,,,,,,Benzodiazepines,,,,,Gabapentin and/or Pregabalin,Cocaine,Ecstasy-type,Amphet-amines,Alcohol,,,,
,,Opiates and opioids,,,,,,,,,,,,,,,,,,,
,All drug-related deaths,Heroin / morphine 2,Methadone,"Heroin / morphine, Methadone or Bupren-orphine",Codeine or a codeine-containing compound,Dihydro-codeine or a d.h.c-containing compound,Any opiate or opioid,Any benzo-diazepine,of which:,,of which:,,,,,,,,,,
,,,,,,,,,"any ""Prescrib-able"" benzo-diazepine 3",,"any ""Street"" benzo-diazepine 3",,,,,,,,,,
,,,,,,,,,,of which: ,,of which: ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Diazepam,,Etizolam,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(i) numbers,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Scotland," 1,339 ", 605 , 708 ," 1,059 ", 51 , 151 ," 1,192 ", 974 , 210 , 194 , 879 , 806 , 502 , 459 , 40 , 60 , 173 ,,,,
,,,,,,,,,,,,,,,,,,,,,
Ayrshire & Arran,106,57,54,84,2,9,95,77,3,2,75,72,38,34,2,5,10,,,,
Borders,18,8,7,13,0,0,15,13,2,2,12,9,9,3,0,0,6,,,,
Dumfries & Galloway,22,16,15,21,0,2,22,16,1,1,16,11,10,6,0,0,1,,,,
Fife,65,25,38,53,7,7,63,51,17,17,46,44,32,19,2,3,6,,,,
Forth Valley,77,41,40,61,10,11,69,63,16,13,57,56,28,21,2,7,14,,,,
Grampian,99,50,54,82,0,18,90,56,40,39,33,24,32,64,0,5,25,,,,
Greater Glasgow & Clyde,444,206,248,359,9,39,385,324,11,8,321,306,146,149,14,14,42,,,,
Highland,49,17,19,32,5,14,45,39,26,23,25,16,22,5,0,7,6,,,,
Lanarkshire,185,88,93,147,7,24,167,134,7,7,129,122,60,65,5,8,27,,,,
Lothian,159,44,78,113,4,18,135,115,66,65,83,68,79,62,12,10,22,,,,
Orkney,3,0,0,1,1,0,3,2,1,0,1,0,0,0,0,0,0,,,,
Shetland,4,2,1,3,0,0,3,1,0,0,1,1,1,0,0,0,0,,,,
Tayside,105,50,61,89,6,8,98,83,20,17,80,77,45,31,2,1,14,,,,
Western Isles,3,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,
(i) percentages of the area's total number of drug-related deaths4,,,,,,,,,,,,,,,,,,,,,
NB: given only if that total is at least:,,50         ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Scotland,100%,45%,53%,79%,4%,11%,89%,73%,16%,14%,66%,60%,37%,34%,3%,4%,13%,,,,
,,,,,,,,,,,,,,,,,,,,,
Ayrshire & Arran,100%,54%,51%,79%,2%,8%,90%,73%,3%,2%,71%,68%,36%,32%,2%,5%,9%,,,,
Borders, , , , , , , , , , , , , , , , , ,,,,
Dumfries & Galloway, , , , , , , , , , , , , , , , , ,,,,
Fife,100%,38%,58%,82%,11%,11%,97%,78%,26%,26%,71%,68%,49%,29%,3%,5%,9%,,,,
Forth Valley,100%,53%,52%,79%,13%,14%,90%,82%,21%,17%,74%,73%,36%,27%,3%,9%,18%,,,,
Grampian,100%,51%,55%,83%,0%,18%,91%,57%,40%,39%,33%,24%,32%,65%,0%,5%,25%,,,,
Greater Glasgow & Clyde,100%,46%,56%,81%,2%,9%,87%,73%,2%,2%,72%,69%,33%,34%,3%,3%,9%,,,,
Highland, , , , , , , , , , , , , , , , , ,,,,
Lanarkshire,100%,48%,50%,79%,4%,13%,90%,72%,4%,4%,70%,66%,32%,35%,3%,4%,15%,,,,
Lothian,100%,28%,49%,71%,3%,11%,85%,72%,42%,41%,52%,43%,50%,39%,8%,6%,14%,,,,
Orkney, , , , , , , , , , , , , , , , , ,,,,
Shetland, , , , , , , , , , , , , , , , , ,,,,
Tayside,100%,48%,58%,85%,6%,8%,93%,79%,19%,16%,76%,73%,43%,30%,2%,1%,13%,,,,
Western Isles, , , , , , , , , , , , , , , , , ,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,
