Total number of drug-related deaths in latest FIVE years - from SAS output 2016-2020,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Age at Death,,,,,,,All,,,,,,,,,,,,,,
,0-14,15-24,25-34,35-44,45-54,55-64,65+,,,age 15-64 only,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All,6,296,1081,2016,1643,457,109,5608,,"5,493",,,,,,,,,,,,
Health Board area (in terms of 2014 boundaries),,,,,,,,,,,,,,,,,,,,,,
Ayrshire and Arran,1,16,94,185,115,26,5,442,,436,,,,,,,,,,,,
Borders,0,8,22,19,24,5,2,80,,78,,,,,,,,,,,,
Dumfries and Galloway,0,4,32,49,22,8,1,116,,115,,,,,,,,,,,,
Fife,1,25,61,129,79,23,3,321,,317,,,,,,,,,,,,
Forth Valley,0,20,78,112,83,15,3,311,,308,,,,,,,,,,,,
Grampian,0,15,79,157,130,35,10,426,,416,,,,,,,,,,,,
Greater Glasgow and Clyde,2,79,266,604,621,174,33,1779,,"1,744",,,,,,,,,,,,
Highland,0,14,54,55,47,22,2,194,,192,,,,,,,,,,,,
Lanarkshire,0,46,157,249,183,44,14,693,,679,,,,,,,,,,,,
Lothian,2,47,130,259,207,57,29,731,,700,,,,,,,,,,,,
Orkney,0,1,3,0,2,2,1,9,,8,,,,,,,,,,,,
Shetland,0,0,3,1,0,4,1,9,,8,,,,,,,,,,,,
Tayside,0,20,100,193,128,42,5,488,,483,,,,,,,,,,,,
Western Isles,0,1,2,4,2,0,0,9,,9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Population in middle year of latest five-year period,,,,,,,,,,,,,,,,,,,,,,
"Table 3: Estimated population by sex, five year age group and administrative area, mid-2018",,,,,,,,,,copied from Website  25 May 2021,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Persons,All Ages,diff,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,
