"Table NPS1: Drug poisoning deaths on the basis of the Office for National Statistics (ONS) 'wide' definition which involved New Psychoactive Substances (NPSs) 1, 2020",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(i) Deaths for which one or more NPSs was implicated in, or potentially contributed to, the death",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Type(s) of NPS that were present,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Benzodiaz-'epine-type NPS present; no other types of NPS,,Other types of NPS present; no Benzodiaz-epine-type NPS,,Both benzo-diazepine-type NPS and other types of NPS,,,All type(s) of NPS,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Included in this report's statistics of drug-related deaths2,,,,,,,,,,,,,,
,NPS the only substance(s)* implicated in the death,18,,0,,0,,,18,,,,,
,Other substance(s)** implicated in the death,842,,0,,4,,,846,,,,,
,All,860,,0,,4,,,864,,,,,
,,,,,,,,,,,,,,
NOT included in those statistics,,,,,,,,,,,,,,
,NPS the only substance(s)* implicated in the death,1,,0,,0,,,1,,,,,
,Other substance(s)** implicated in the death,7,,0,,0,,,7,,,,,
,All,8,,0,,0,,,8,,,,,
,,,,,,,,,,,,,,
"All deaths for which one or more NPSs was implicated in, or potentially contributed to, the death",,,,,,,,,,,,,,
,NPS the only substance(s)* implicated in the death,19,,0,,0,,,19,,,,,
,Other substance(s)** implicated in the death,849,,0,,4,,,853,,,,,
,All,868,,0,,4,,,872,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Age at Death,,,,,,,Sex,,,,,
,,,,,,,,,,,,,,
,,"under
25",25 to 34,"35 to 
44",45 to 54,55 & over,All,,Male,Female,,,,
,,,,,,,,,,,,,,
Included in this report's statistics of drug-related deaths2,,,,,,,,,,,,,,
,Benzodiazepine-type NPS present; no other types of NPS,47,193,284,263,73,860,,638,222,,,,
,Other types of NPS present; no Benzodiazepine-type NPS,0,0,0,0,0,0,,0,0,,,,
,Both Benzodiazepine-type NPS and other types of NPS present,2,0,2,0,0,4,,3,1,,,,
,All,49,193,286,263,73,864,,641,223,,,,
,,,,,,,,,,,,,,
NOT included in those statistics,,,,,,,,,,,,,,
,Benzodiazepine-type NPS present; no other types of NPS,0,2,2,2,2,8,,5,3,,,,
,Other types of NPS present; no Benzodiazepine-type NPS,0,0,0,0,0,0,,0,0,,,,
,Both Benzodiazepine-type NPS and other types of NPS present,0,0,0,0,0,0,,0,0,,,,
,All,0,2,2,2,2,8,,5,3,,,,
,,,,,,,,,,,,,,
"All deaths for which one or more NPSs was implicated in, or potentially contributed to, the death",,,,,,,,,,,,,,
,Benzodiazepine-type NPS present; no other types of NPS,47,195,286,265,75,868,,643,225,,,,
,Other types of NPS present; no Benzodiazepine-type NPS,0,0,0,0,0,0,,0,0,,,,
,Both Benzodiazepine-type NPS and other types of NPS present,2,0,2,0,0,4,,3,1,,,,
,All,49,195,288,265,75,872,,646,226,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(ii) Deaths for which NPSs were present but were NOT considered to have contributed to the death,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Age at Death,,,,,,,Sex,,,,,
,,,,,,,,,,,,,,
,,"under
25",25 to 34,"35 to 
44",45 to 54,55 & over,All,,Male,Female,,,,
,,,,,,,,,,,,,,
Included in this report's statistics of drug-related deaths2,,,,,,,,,,,,,,
,Benzodiazepine-type NPS present; no other types of NPS,5,4,10,9,5,33,,29,4,,,,
,Other types of NPS present; no Benzodiazepine-type NPS,0,0,1,0,0,1,,0,1,,,,
,Both Benzodiazepine-type NPS and other types of NPS present,0,0,0,0,0,0,,0,0,,,,
,All,5,4,11,9,5,34,,29,5,,,,
,,,,,,,,,,,,,,
NOT included in those statistics,,,,,,,,,,,,,,
,Benzodiazepine-type NPS present; no other types of NPS,0,0,0,1,0,1,,1,0,,,,
,Other types of NPS present; no Benzodiazepine-type NPS,0,0,0,0,0,0,,0,0,,,,
,Both Benzodiazepine-type NPS and other types of NPS present,0,0,0,0,0,0,,0,0,,,,
,All,0,0,0,1,0,1,,1,0,,,,
,,,,,,,,,,,,,,
All deaths for which NPSs were present but were not considered to have contributed to the death,,,,,,,,,,,,,,
,Benzodiazepine-type NPS present; no other types of NPS,5,4,10,10,5,34,,30,4,,,,
,Other types of NPS present; no Benzodiazepine-type NPS,0,0,1,0,0,1,,0,1,,,,
,Both Benzodiazepine-type NPS and other types of NPS present,0,0,0,0,0,0,,0,0,,,,
,All,5,4,11,10,5,35,,30,5,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,
1) The substances which are counted (for the purpose of these figures) as New Psychoactive Substances are described in Annex E.,,,,,,,,,,,,,,
"2) This is within the Drug Strategy 'baseline' definition, as implemented by National Records of Scotland",,,,,,,,,,,,,,
"* apart, perhaps, from alcohol. For example, a death for which mephedrone and alcohol were the only substances that were implicated in the death would be counted under 'NPS the only substance(s) implicated in the death'.                                                                                                                                                                                                                                                        ** apart, perhaps, from alcohol.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"** apart, perhaps, from alcohol.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
© Crown Copyright 2021,,,,,,,,,,,,,,
