"Details of the only drug that was implicated, or potentially contributed to the cause of death,",,,,,,,,,,,,,,
in cases where it was not one of the ones which appears in the standard tables,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,
FIRST: deaths for which only one drug was found in the body,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(a) it is an OPIATE/OPIOID but it is not one of the ones that are shown in the table,,,,,,,,,,,,,,
,i.e. it is NOT heroin/morphine or methadone or codeine (or a compound thereof),,,,,,,,,,,,,
,or dihydrocodeine (or a compound thereof),,,,,,,,,,,,,
,"NB: any ""buprenorphine"" will appear (although counted in the ""Heroin/Morphine/Methadone/Buprenorphine"" column",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Year in which death was registered,,,,,,,,,,,,,
,yr,Frequency,,,,,,,,,,,,
,2020,17,,,,,,,,,,,,
,,,,,,,,,,,,,,
,UK Drug Strategy definition (as applied by NRS/GROS),,,,,,,,,,,,,
,UKdefn,Frequency,,,,,,,,,,,,
,in UK-wide defn used by GROS/NRS,17,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"No. of substance (drugs, solvents, etc - but NOT alc) names (in
total)",,,,,,,,,,,,,
,Ntotdrug,Frequency,,,,,,,,,,,,
,1,17,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"[from 2008] substances which were implicated in, or which potentially contributed to, the cause of death",,,,,,,,,,,,,
,poison,Frequency,,,,,,,,,,,,
,Buprenorphine,1,,,,,,,,,,,,
,"Buprenorphine, Alcohol",1,,,,,,,,,,,,
,Opiate,1,,,,,,,,,,,,
,Oxycodone,4,,,,,,,,,,,,
,"Oxycodone, Alcohol",1,,,,,,,,,,,,
,Tramadol,8,,,,,,,,,,,,
,"Tramadol, Alcohol",1,,,,,,,,,,,,
,,,,,,,,,,,,,,
(b) it is a BENZODIAZEPINE but it is NOT one of the ones shown in the table,,,,,,,,,,,,,,
,i.e. it is NOT diazepam or etizolam,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Year in which death was registered,,,,,,,,,,,,,
,yr,Frequency,,,,,,,,,,,,
,2020,3,,,,,,,,,,,,
,,,,,,,,,,,,,,
,UK Drug Strategy definition (as applied by NRS/GROS),,,,,,,,,,,,,
,UKdefn,Frequency,,,,,,,,,,,,
,in UK-wide defn used by GROS/NRS,3,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"No. of substance (drugs, solvents, etc - but NOT alc) names (in
total)",,,,,,,,,,,,,
,Ntotdrug,Frequency,,,,,,,,,,,,
,1,3,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"[from 2008] substances which were implicated in, or which potentially contributed to, the cause of death",,,,,,,,,,,,,
,poison,Frequency,,,,,,,,,,,,
,Benzodiazepine,1,,,,,,,,,,,,
,Flubromazolam,1,,,,,,,,,,,,
,Temazepam,1,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(c) it is counted in the ""ANY OTHER DRUG"" column of the table",,,,,,,,,,,,,,
,because it is not an opiate or a benzodiazepine or any of the other drugs or types,,,,,,,,,,,,,
,of drug that are shown in the table,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Year in which death was registered,,,,,,,,,,,,,
,yr,Frequency,,,,,,,,,,,,
,2020,5,,,,,,,,,,,,
,,,,,,,,,,,,,,
,UK Drug Strategy definition (as applied by NRS/GROS),,,,,,,,,,,,,
,UKdefn,Frequency,,,,,,,,,,,,
,in UK-wide defn used by GROS/NRS,5,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"No. of substance (drugs, solvents, etc - but NOT alc) names (in
total)",,,,,,,,,,,,,
,Ntotdrug,Frequency,,,,,,,,,,,,
,1,5,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"[from 2008] substances which were implicated in, or which potentially contributed to, the cause of death",,,,,,,,,,,,,
,poison,Frequency,,,,,,,,,,,,
,Alcohol,1,,,,,,,,,,,,
